iter	RMSE
0	210.7633194
1	195.7159508
2	181.9253834
3	169.393427
4	157.8086656
5	147.5222389
6	137.7136644
7	129.0337542
8	121.0593442
9	113.7940972
10	107.1125217
11	101.1284707
12	95.81802967
13	90.90779645
14	86.50666317
15	82.47962379
16	78.92555369
17	75.75038691
18	72.91670792
19	70.39155162
20	68.11964892
21	66.19133207
22	64.53390049
23	63.06668691
24	61.69317024
25	60.60846579
26	59.6312294
27	58.71064637
28	58.00069925
29	57.31179124
30	56.74675289
31	56.24025126
32	55.80020177
33	55.46231562
34	55.17759637
35	54.89007875
36	54.58774829
37	54.39977635
38	54.19825092
39	54.02136386
40	53.86704543
41	53.7247184
42	53.62771526
43	53.52283953
44	53.413757
45	53.31978358
46	53.24762022
47	53.17459297
48	53.10711849
49	53.07270249
50	53.0127047
51	52.96716494
52	52.94331499
53	52.89861551
54	52.8498583
55	52.80511133
56	52.782191
57	52.74021112
58	52.71728543
59	52.70094387
60	52.66272492
61	52.6154772
62	52.58344948
63	52.54773338
64	52.53290629
65	52.50907861
66	52.49265947
67	52.46943778
68	52.45969524
69	52.42910739
70	52.41666207
71	52.36586845
72	52.33643646
73	52.32890427
74	52.27900166
75	52.24492257
76	52.23335411
77	52.22578721
78	52.20897735
79	52.1997016
80	52.15810943
81	52.1145884
82	52.08353547
83	52.05276826
84	52.04638104
85	52.01101495
86	51.97840693
87	51.96597325
88	51.94875245
89	51.93033622
90	51.89073964
91	51.88215463
92	51.84091925
93	51.82004018
94	51.80756655
95	51.79319735
96	51.78696333
97	51.77310951
98	51.70599247
99	51.70054907
